인덱스,코드,구분,FAQ 답변 ,FAQ  질문 ,tag,link_url_adr
402,,119,세액이 천원 이상일 경우에만 징수합니다.,법인 CMA계좌 안전자유형인데 매일 이자가 발생되는데 세금징수가 된게 있고 안된게 있습니다.,,
403,,120,"네 맞습니다. 현재 공모주 온라인 청약 시 자격조건이 없으며 수수료 납부 시 청약이 가능합니다
 - 현재 당사 고객등급 VIP 이상인 경우 청약수수료 1000원이 면제됩니다",온라인 공모주 청약 시 자격 조건없이 가능한가요?,,
404,,120,실권주 청약은 기존 공모주청약과 달리 계좌조건이 없습니다. 청약 당일 개설 후 청약이 가능합니다. 참고로 공모주 청약 시 계좌개설은 청약시작일 전일까지 개설이 되어야합니다.,실권주 청약은 계좌개설을 언제까지 하면 되나요?,,
405,,121,아닙니다. 배정수량을 모두 청약하는 경우에만 초과청약이 가능합니다,유상증자 청약할 때 일부 청약한 경우에도 초과청약이 가능한가요?,,
406,,121,"주주배정, 3자배정, 일반배정 방식으로 배정됩니다.
자세한 청약방법은 업무지식Key를 활용해주세요",유상증자 청약 방법,,
407,,121,"주권 상장법인이 주주배정 방식으로 신주를 발행하는 경우 신주인수권 증서 발행, 유통을 의무화 하고 있습니다.",주주배정 시에는 신주인수권증서를 반드시 발행해야 하나요?,,
408,,121,"-  실무적 판단
  회사의 의도가 경영권 획득 등을 위한 단순한 공개매수인지 소각을 하기 위함인지는 공개매수 관련 안내문이나 의사록 등을 통해서  확인 할 수 있습니다.  
   다만, 실무적으로는 배당소득(의제배당)으로 판단될 경우 증권회사가 공개매수 대금 지급 시 배당소득세(15.4%)를 원천징수 한 후  잔액을 지급하므로   계좌에 입금된 금액이 증권거래세와 배당소득세를 차감한 잔액이라면 공개매수를 주식소각 목적이었다고 보면 되며,   단순히 증권거래세만 차감된 금액으로  지급되었다면 양도소득세 신고납부 대상으로 판단하면 됩니다.
(상세정보) http://172.30.220.65:8090/wiki/pages/viewpage.action?pageId=23665618",공개매수는 양도소득일까요? 배당소득일까요 ?,,
409,,121,"회사의 이익배당은 시기에 따라, ① 결산배당 (결산시) ② 중간배당(사업연도 중 1회) ③분기배당(사업연도 중 3회)로 구분합니다
   -  상장법인은 정관에서 중간배당과 분기배당 중 1개를 선택적으로 채택가능하고, 이후 이사회 결의로 배당 실시 가능합니다
   -  중간배당은 정관으로 통상 6월말 기준으로 실시합니다
 * 중간배당은 97년 증권거래법에 도입되었다가 98년 상법으로 이관되었고 분기배당은 98년 증권거래법에 최초 도입이후
   자본시장법에 반영되었습니다",배당의 종류에는 어떤게 있나요 ?,,
410,,121,"주권실물을 직접 보유한 주주를 명부주주라고 합니다.  명부주주는 주식대행기관에서 주소를 변경하여야 합니다
 주식사무대행기관은 한국예탁결제원 ( ☎ 1577-6600) , 하나은행( ☎ 3668-5800) , 국민은행 (☎2079-7114) 이 있습니다
 따라서, 주주가 보유한 주식의 사무대행기관이 어디인지 먼저 확인해야 합니다  
   -   일반적으로 증권예탁결제원이 사무대행기관인 경우가 많으므로  준비할 서류는 예탁결제원 중심으로 안내드리겠습니다 
 사무대행기관이  증권예탁결제원인 경우 ,   주소변경시 준비서류는 등록인감 (주주가 직접 방문시 서명 가능) 및 신분증을 지참한 후  증권예탁결제원에 내방하여 '주소변경신고서'를 작성하여 제출하면  됩니다  
  본인방문시 : 신분증, 도장(서명도 가능)
  대리인 방문시 : 주주의 신분증(사본가능), 인감증명서(법인주주인 경우 사업자등록증 및 법인인감증명서) 
 -  예탁결제원을 통한  주소 변경은 홈페이지에서 직접변경하거나  팩스 , 우편의 방법도 가능 합니다.
 팩스 또는 우편발송의 경우  예탁원 홈페이지  '고객정보센터 > 양식/서식'   에서  제신고서(주소변경)  출력하여 주소 기재 후  주민등록증 초본, 신분증 사본과 함께  증권대행부 명의개서팀으로 팩스발송 하거나  우편발송으로 변경 가능합니다   
   < 팩스 번호> :  02-3774-3504
  <주 소>  우편번호 150-948 서울특별시 영등포구 여의나루로4길 23 ,  한국예탁결제원 증권대행부 명의개서팀 
  -   준비서류는 예탁결제원 사정에 따라 변경될 수 있으니 고객 방문 전에 다시 확인 후 방문 하도록  안내 바랍니다.
   또한, 예탁결제원 이외 타 대행기관의 준비서류는 위에 있는 하나은행 , 국민은행에 확인 하시기 바랍니다
  -   회사가 주주확정을 위한 기준일을 정한 경우, 기준일 전일까지 신청해야 바뀐주소로 우편물이 통지될 수 있습니다",주권실믈을 직접 보유한 주주( 명부주주 ) 가 주소변경 하려면 어떻게 하나요 ?,,
411,,122,ISA는 1인당 연간 2천만원 한도까지 가입 가능하나 재형저축(분기)과 소득공제 장기펀드(연간)에 가입했다면 해당 가입금액만큼  차감 한도가 가능한도로 설정됩니다.,ISA 신규 가입 한도는 2천만원으로 알고 있는데 왜 은행연합회 한도가 더 작게 나오나요?,,
412,,122,"달러RP의 경우 반드시 달러가 있어야 매수 가능합니다. 원화를 [TR1 2317]에서  환전처리 하거나, 당사명의 외화계정으로 송금 받아 매매해야 합니다.",달러RP를 매매하고자 합니다. 원화로도 매매 가능한가요?,,
413,,122,"대출금액과 인출하고자 하는 금액을 합산금액을 [TR12233] 수익증권 담보대출 환매상환/취소 화면에서 한번만 주문하면 됩니다.
 결제일에 대출 상환 후 나머지 금액만 예수금에 남게 됩니다.  [TR22085] 수익증권 매도 화면에서 처리하게 되면 대출금은 상환처리 되지 않습니다.",수익증권 대출이 있는 고객이 대출을 전부 갚고 나머지 잔액 중 일부를 인출하고자 합니다. 매도를 두번 처리해야 하나요?,,
414,,122,"해약 후 추가 입금은 불가합니다. 중도해약의 경우 자동 매도처리가 동시에 처리되고, 만기해약의 경우 필요한 금액만큼 매도처리를 따로 하셔야 합니다.
",수익증권 해약 후 추가 입금이 가능한가요?,,
415,,123,‘[12229] 대출종합 화면 > 매도담보대출 탭 > 대출가능잔고 탭’ 하단에 [가상매도대출 실행 후 출금가능금액 조회’에서 가계산 출금가능금액을 확인할 수 있습니다.,"매도담보대출 실행 전에 대출 실행 후, 출금가능금액이 얼마인지 알 수 있을까요?",,
416,,123,"담보대출 약정등록이 되어 있지 않거나, 대출한도를 초과한 경우
 - 전일 또는 당일에 매수해서 수도결제 되지 않은 종목
 - 계좌의 주문가능대용금액이 부족한 경우",보유중인 종목이 대출종합 화면의 대출가능잔고에서 조회 안되는 이유는 어떻게 되나요?,,
417,,123,"담보금은 신용 기본형 계좌에서만 발생하며, 융자매수 주문시 총 매수 약정금액의 10%를 융자금 상환시까지 담보로 확보하는 금액입니다.
 - 추가담보금은 신용공여 계좌의 ‘융자/대출’ 종목인, 원 담보만을 평가금액이 소요담보금액(융자/대출금의 140%금액)보다 부족한 경우, 추가적으로 담보로 확보하는 금액입니다.",담보금과 추가담보금은 어떤 경우에 발생하나요?,,
418,,123,"(1) 신용융자종목
 - 만기연장 : 연장 처리 즉시 만기일이 연장됩니다.
 - 융자이자 : 계좌의 전일 결제기준 총 융자잔고를 기준으로 기준금리가 매일 결정 됨에 따라, 융자잔액이 변동될 때마다 기준금리 및 신용이자율이 수시로 변경됩니다. 따라서, 신용융자 이자는 일별 적용금리에 따라 매일 계산하며, 매일 계산된 이자를 합산하여 정기이자를 징수합니다
   (2) 담보대출종목
 - 만기연장 : 만기일 이전에 연장 시, 연장 예약접수 후 기존만기일 당일 새벽 1시경에 만기일이 일괄적으로 연장되며, 만기일 당일에 연장시에는 연장 처리 즉시 만기일이 연장 됩니다.
 - 대출이자 : 만기연장 시점의 기준금리를 기준으로 대출이율이 적용됩니다.",신용 종목의 만기연장 처리 방법 및 이자율은 어떻게 되나요?,,
419,,123,"미수 및 만기미상환 : 미수 및 미상환융자/대출금 발생일 익 영업일
 - 주식 담보유지비율 부족 : 담보비율 130%미만 : 담보부족발생일(D일) + 1영업일
 : 담보비율 130%이상 : 담보부족발생일(D일) + 2영업일
  * 담보부족 계좌의 반대매매일은 매 영업일 16시 10분 경의 담보비율을 기준으로 확정 됩니다.
  - 수익증권 담보부족 : 담보부족발생일(D일) + 2영업일
  - 선물옵션 : 추가증거금 발생일(D일) + 1영업일",당사 반대매매 시행일은 어떻게 되나요?,,
420,,123,"자동현금상환 업무는 신용공여 계좌를 반대매매 실행 전에 계좌의 현금 잔액만큼 자동으로 현금상환 처리하여, 현금을 반대매매
 대상금액에 우선적으로 충당한 후, 부족액이 있는 경우, 보유수량을 반대매매 하는 업무로 계좌에 보유한 수량을 덜 매도하게 되는
 고객에게 유리한 제도 입니다.
 - 자동현금상환 대상 : 담보부족, 만기미상환 반대매매 대상",반대매매 실행 전 자동으로 현금상환 처리가 되었어요. 어떤 경우 인가요?,,
421,,123,"현금 1천만 이내에서 채권 매수시 주문가능수량 계산시 : (1천 만원 - (1천만원 * 매매수수료)) / 매수단가 * 10,000
 - 액면 1천 만원 채권 매도시 실 수령금액 : (1천 만원 * 매도단가 / 10,000) - 매매수수료 - 세금(소득세,주민세)",장내채권 매매시 실 수령금액 및 주문가능수량 계산 방법은 어떻게 되나요?,,
422,,123,"선물옵션을 최초로 거래하는 신규투자자는 ‘사전교육(교육1단계/교육2단계) 및 모의거래’ 등의 사전투자경험을 이수하고, 기본예탁금을 예탁하면 선물.옵션
 상품을 단계적 거래할 수 있습니다.  
 - 교육1단계(20시간) 및 모의거래(50시간) 이수 후 기본예탁금을 예탁한 경우 선물 및 옵션매수 거래가 가능하며, 옵션매도거래는 교육2단계(10시간)를
 추가로 이수하고,   “파생상품계좌 개설 후 1년이 경과하고, 조회일 기준으로 최근 1년간 선물 미결제약정 보유일수가 10거래일 이상”인 경우에 한하여
 신규거래가 가능합니다.",선물옵션 상품을 처음 거래하고자 하는데 어떻게 해야하나요?,,
423,,123,"기본예탁금은 고객단위로 적용하고 있으며, 투자자를 크게 두 분류(법인, 전문개인투자자, 전문개인투자자(대우) 및
 신규투자자(=일반투자자))로 구분하여 투자자별로 차별화 된 기본예탁금을 적용하고 있습니다.
 - 또한, 타 증권사에서 적용중인 기본예탁금 단계가 확인되는 증빙서류를 제출받아 [11277]화면에 등록하면, 당사 기본예탁금과
 비교하여 유리한 기본예탁금을 적용 받을 수도 있습니다.",선물옵션 기본예탁금 적용 기준은 어떻게 되나요?,,
424,,123,"추가증거금은 장종료 시점에 계좌의 예탁금액이 유지증거금보다 작은 경우에 발생됩니다.
 - 추가증거금 발생이 예상되는 경우, [21118] 화면에서 추가증거금 발생 여부를 미리 가늠해서, 장종료 이전에 예탁금을 유지증거금
 수준까지 납부하면 됩니다. 다만, 장종료 전에 [21118] 화면에서 조회되는 추가증거금은 당사가 추정한 금액으로 가정산시에 확정된
 금액과는 차이가 발생할 수 있습니다.",선물옵션 계좌의 추가증거금은 어떤 경우에 발생되나요?,,
425,,123,"미수동결 계좌라 하더라도 미수금이 해소되면 매도금액 범위내에서 매수 주문이 가능합니다.
 단. 미수금을 해소하지 못한 경우에는 매도대금이 미수금보다 많아도 매수 주문이 불가합니다.
",미수동결 계좌도 재매수 대상 금액으로 매수 주문을 할 수 있나요?,,
426,,123,"매매와 직접적인 관련이 없는 금액이 인출되면서 결제일 날 매수대금이 부족한 경우라도, 그 금액이 10만원 이하인 경우에는
 미수동결계좌로 지정되지 않습니다.
 - 따라서, 미수금이 10만원 이상인 경우라 하더라도 ""정기이자 또는 권리 관련 세금"" 등, 매매와 관련이 없는 금액을 차감한 후의
 미수금이 10만원 이하라면 미수동결계좌로 지정되지 않습니다.",정기이자가 징수되면서 미수금이 발생된 경우에도 미수동결 계좌로 지정되나요?,,
427,,123,"[21115] 지점별 선물옵션 반대매매 예정 내역 조회 화면의 '반대매매일'을 참고하여 가정산 완료 여부를 확인할 수 있습니다.
 가정산이 완료되면 반대매매일이 익일로 변경되어 조회 됩니다.","선물옵션 반대매매 예정 내역은 가정산시에 확정되는데, 가정산 완료 여부는 어떻게 확인할 수 있나요?",,
428,,123,"[21115] 지점별 선물옵션 반대매매 예정 내역 조회 화면에서 마감구분을 ""실시간""으로 선택하여 조회하면 됩니다.
 '실시간'은 반대매매가 시행되는 12시 이전까지의 '매매, 입금, 대용증권지정' 등을 반영하여 반대매매 예정 내역을 재산출한 현황으로,
 추가증거금 해소 여부를 실시간으로 확인할 수 있습니다",반대매매일에 선물옵션 추가증거금 해소 여부는 어떻게 확인하나요?,,
429,,123,"네. 제한이 있습니다.  미결제약정수량 제한수량은 (기초주권의 상장 보통 주식수 X 0.5% / 표준승수 (1천 계약 미만 절사))로 계산합니다.
  거래승수가 표준승수와 다른 결제월 종목이 있는 경우 해당 결제월 종목의 거래승수를 표준 승수로 나눈 수치를 곱하여 산출되는
  미결제약정 수량으로 순미결제약정수량을 산출 합니다",개별주식 선물의 미결제약정 수량 보유한도에  제한이 있나요 ?,,
430,,123,"관리종목은  유가증권시장 종목, 코스닥시장 종목 모두 일반종목과  동일한 매매체결방식(정규시장 접속매매)으로  적용하고
 있습니다.  종전에는 30분단위 단일가 매매를 적용 하였으나 유가증권시장 종목은 2002년 7월 1일에 코스닥시장 종목은
 2014년 11월 17일에  일반종목과 동일한 방식으로 변경되었습니다
  -  정리매매종목은 상장폐지가 확정된 종목의 경우 주주에게 상장폐지전 마지막 환금의 기회를 부여하기 위하여  매매거래일 기준으로
  7일간 정리매매기간을 부여합니다.  정리매매 체결 방법은 정규시장 (09시 ~ 15시 30분) 중에는 30분 단위 단일가 매매 방법(1일 14회)으로
  체결되며 가격제한폭은 적용되지 않습니다. 따라라서 시장가 주문이 불가합니다","관리종목, 정리매매종목의 매매체결 방법은 어떻게 되나요 ?",,
431,,123,"접속매매로 거래되는 종목과 정리매매종목으로 거래되는 종목의 정규시장 호가 공개 범위는 다음과 같은 차이가 있습니다
 
  ▶ 관리종목 접속매매시 호가 공개 범위 ( 10단계 )
   접속 매매의 경우 매도, 매수별 최우선 호가의 가격을 포함한 10단계 우선 호가 가격, 그 가격대별 호가 수량 및
   당해 호가 수량의 합계수량을 보여줍니다
 <관리종목 호가 공개 범위 예시 : 10단계 , 실시간 체결  >
▶  정리매매 종목  단일가 매매 시  호가 공개 범위 (예상 체결호가 3단계 )  
   단일가매매의 경우 예상체결가격, 수량 및 매도.매수별 3단계 우선 호가의 가격.수량을 공개합니다
  단일가 매매시 예상체결 가격 등의 공표는 실시간으로 하되, 시가의 경우에는 호가 접수 개시 시점부터
 10분이 경과한 시점( 8:10분) 부터 공개합니다",관리종목과 정리매매종목의 호가 공개 범위는 어떻게 다른가요 ?,,
432,,123,"매매 방식은 매도와 매수 호가의 가격이 서로 일치하는 경우에 한해서 매매가 체결되는 상대매매 방식을 적용하고 있습니다.
  따라서,  가격이 일치하는 상대호가가 없을 경우 매매당사자가 직접 상대방 호가를 탐색하여 주문가격을 정정하여야
  체결이 가능합니다 .  호가제출 당시의 상대호가가격에 비해 5호가가격단위를 초과하는 불리한 가격의 호가를 제출하는 경우
  제출된 주문이 거부처리 됩니다",K-OTC 시장의 매매는 어떻게 이루어지나요 ?,,
433,,123,"신규 종목의 최초 매매개시일 기준가격은 주당 순자산가치로 합니다. 최초 매매개시일 이후의 기준가격은  직전 영업일에 거래형성이 된 경우는
 거래량 가중평균주가이고 , 직전 영업일에 거래형성이 되지 않았다면  직전 영업일의 기준가격으로 합니다.   다만, 직전 영업일에 기세가 있는
   경우에는 기세가격을 적용하고 그 밖의 경우는  기준가격 산정기준을 고려하여 협회가 정한 가격이 기준가격이 됩니다
 즉, 거래소에 상장된 종목은  권리 등 이벤트 발생이 없다면 일반적으로 전일의 종가가 기준가격이 되지만 K-OTC 종목은 거래량
 가중평균주가가  기준가격이됨에 유의해야 합니다",K-OTC 시장의 기준가격은 유가증권 시장과 코스닥 시장의  기준가격과 어떻게 다른가요 ?,,
434,,123,"기세제도란 장종료시까지 매매거래가 성립되지 아니하였으나, 기준가격 대비 낮은(높은) 매도호가(매수호가)가 있는 경우 이를 다음 영업일의  기준가격으로 적용하는 제도입니다. 가격제한폭이 있는 K-OTC시장에서는 시장의 흐름을 주가에 반영하기 위해 기세제도가 필요합니다.
  다만,  가격 우선원칙을 적용하지 않는 상대매매의 특성 , 저유동성, 가격 급등락의 최소화, 부정거래행위 예방 등을 고려하여  KRX 거래소 시장과는  차별화된 기세제도가 도입되었습니다  
   -  K-OTC 시장의 기세산정 방법
  ▶ 기준가격보다 낮은 매도호가(높은 매수호가)가 총 1백만원 이상인 경우   해당 호가의 수량가중평균가격을 기세로  인정합니다.
  (최대 ±15% 한도 내. 단, 매매개시일의 기세는 기준가격에 50%~300%를 각각 곱하여 산출한 가격의 범위내로 합니다)
 ▶  다만, 해당 수량가중평균가격보다 높은 매수호가(낮은 매도호가)가 총 1백만원 이상인 경우 최고 매수가격(최저 매도 가격)을 기세로 하며,
 기준가격보다 낮은 매도호가와 높은 매수호가가 모두 있는 경우에는 기세가 없는 것으로 합니다.
 ·   기세참여 호가는 장종료 10분전까지 접수된 호가 중 장종료시까지 유효한 호가에 한하며, 장종료 10분전 현재 기세가   없는 경우에는   장종료시에도 기세가 없는 것으로 간주합니다.",K-OTC 시장의 기세제도는 KRX 거래소 시장과 어떻게 다른가요 ?,,
435,,123,"상장채권도 정리매매 대상 채권으로 지정될 수 있습니다.  채권의  상장폐지를 앞둔 정리매매 기간은 7일입니다  
   -  정리매매 대상 채권으로 지정되면  가격제한폭이 없어 호가제한 규정이 적용되지 않습니다 . 호가 제한이란 가격 왜곡현상 등을 방지하기
 위해 채권의 특성을 감안하여 호가 입력 제한 범위를 차별적으로 적용하는 것입니다
 예컨대, 주식관련사채권을 제외한 채권은 호가가격이 전일종가(전일종가가 없는 경우에는 채권평가회사가 발표하는 당해 매매채권의
 평가가격을 산술평균한 가격)를 기준으로 30%를 초과하는 매수호가 또는 30%에 미달하는 매도호가를 입력할 수 없으며,
 주식관련사채권은 일반채권보다 가격변동 가능성이 높기 때문에 입력제한 범위를 50%를 적용합니다",거래소에 상장된 채권도 정리매매 대상 채권으로 지정되나요  ? 정리매매 채권으로 지정시 주문 낼 수 있는 가격은 어떻게 되나요 ?,,
436,,123,"주문가능금액' 이란 용어는  한국거래소 파생상품  업무규정에서 사용하는  용어는  아니고 실무에서 사용하는 용어입니다. 
  즉,  '주문가능금액' 이란 용어는 거래소 규정에서는  사후위탁증거금계좌에서 거래체결시점을 기준으로 산출되는 위험노출액한도를 의미합니다
  사후위탁증거금액을 미납한 위탁자의 경우 규정 제124조 제1항 제2호에 의거하여 위탁증거금액이 감소하는 반대거래를 제외하고는 증권사가  주문의 수탁을  거부해야 합니다.
  따라서, 주문가능금액의 산출은 주문의 수탁이 허용되는 것을 전제로 하고 있으므로, 주문의 수탁이 거부되는 위탁자에 대해 별도의 주문가능금액을   표시하는 것은  규정 체계상 불필요한 것으로 거래소는 판단하고 있습니다.
  즉, 사후 증거금 미납 계좌의 주문가능금액은 생성하지 않습니다
또한, 인출가능금액 산출의 기본 전제는 위탁증거금액을 예탁시한까지 예탁하거나 결제를 이행한 정상적인 위탁자가 인출을 요청한 경우로   한정하는 것이 맞습니다.   따라서, 사후위탁증거금액을 미납한 위탁자에 대해 장중 사전위탁증거금액을 초과한 금전 등을 인출하는 것은   기본적인  위험관리원칙을 훼손하는 행위로 거래소는  판단하고 있습니다",파생상품 거래 시 사후증거금  미납 계좌의 주문 가능금액  및 인출 가능금액 생성 가능 여부 ?,,
437,,123,"한국거래소 사이트에서 조회 가능합니다. 
  상장폐지된 종목의 리스트와 사유는 거래소 홈페이지  시장정보 > 주식 >상장현황 > 상장폐지현황에서 조회 할 수 있고 상장폐지된 종목의 과거 주가는 거래소 홈페이지 > 시장정보 > 주식 > 상장현황 > 상장폐지종목검색에서 확인 가능합니다 ",상장 폐지된 종목의 리스트와 상장폐지 사유 등은 어디서 조회 할 수 있나요 ?,,
438,,123,"네, 시간외 시장 거래 가능합니다.  시간외시장의 경우 시간외 종가매매는 일반종목과 동일하며, 시간외단일가 매매는 가격제한폭이  없습니다.  
   - 정리매매 종목 지정 후 최초 매매거래일 등의 경우에는 장개시전 시간외시장은 운영되지 않습니다",정리매매종목도 시간외시장 거래가 가능한가요 ?,,
439,,123,"정규시장 종가입니다. 다만, 거래대금에는 정규시장 및 시간외시장 거래대금까지 포함되어 있습니다 
 상장폐지종목 중 시간외시장의 시세 확인이 필요한 경우 별도로 거래소를 통하여 확인해야 합니다 ","상장폐지된 종목의 경우 당사 시스템에서 시세확인은 불가하고 거래소사이트에서 가능하다고 들었는데,
  거래소 사이트에서 조회한 종가는 정규시장 종가인가요 ? 시간외시장 종가인가요 ?",,
440,,123,"아닙니다. 관리종목으로 지정된 후 관리종목 지정사유를 해소하지 못하여 상장폐지되거나  해산사유 해당 등으로 인하여 관리종목의
   지정없이 상장폐지기준에 해당되어 상장폐지될 수도 있습니다 ",상장폐지가 확정된 종목은 반드시 관리종목으로 지정 후 상장폐지 되나요 ?,,
441,,123,"장기간 ( 30 매매거래일 이상)  거래 중단 또는 정지 된 후 매매거래를 재개하는 경우 평가가격 (최종거래일의 종가*)의 50%~200%  범위 내에서 호가를 제출 받아 기준가격을 결정합니다
   * 최종거래일의 종가 관련해서는  매매 재개 전에 주식분할, 권리락 등이 발생하는 경우 모두 감안하여 계산한 금액입니다
  * 근거 : 유가증권시장 업무규정시행세칙 30조1항9호, 55조1항6호 , 별표 1 (2014년 규정 정비)",장기간 거래 정지 이후 매매 재개 시 기준가격 결정은 어떻게하나요 ?,,
442,,124,"두가지 다 펀드를 타사로 이동하거나 이수해 오는 업무이기 때문에 동일합니다. 고객이 원판매사를 방문하여 확인서를 떼서 이수금융기관으로 가져가는 경우를 펀드 판매사 이동이라고 합니다. 이에반해, 간소화이동은 이수금융기관만을 방문하여
 처리하는 것을 말합니다
",펀드 판매사 이동과 판매사 이동 간소화는 무엇이 다른가요?,,
443,,124,은행계좌 출금일 미포함 7영업일 후 재처리 합니다,자동이체가 처리되지 않았는데 7영업일 후 재처리가 신청되어 있어요. 그럼 언제 재출금 처리가 되나요?,,
444,,124,타금융기관의 잔고부족으로 미처리된 경우라면 7영업일 기준으로 금융결제원에 청구되어야 하는 시점 전까지는 서비스 등록 시 재처리가 가능합니다,어제 자동이체가 출금되지 않았어요. 오늘 7영업일후재처리 서비스를 등록하면 이번 달도 재처리가 가능한가요?,,
445,,124,"불가능합니다. 이체종료일 단축인 경우만 가능합니다. 처리방법은 서비스 등록 및 해지화면에서 내방으로 선택 후 종료일자 변경하면 됩니다. 신청서 출력된 양식에는 은행계좌주 와 당사계좌주 통화 후 녹취시간을 작성하면 됩니다.
  ※ 타인명의계좌 전화 가능 업무 : 이체희망일 변경, 이체금액 감액, 이체종료일 단축, 해지",입금자동이체서비스 등록계좌가 타인명의 계좌입니다. 이체종료일 변경 시  전화로 가능하나요?,,
446,,124,창구에서 입금한 건은 면제조건에 포함되지 않습니다. 타사에서 이체되어 입금이 되어야 온라인 이체수수료가 면제됩니다,"온라인이체 수수료 면제받기 위해 급여계좌 등록하고 당월 50만원 입금했습니다. 당월 입금을 기준으로 다음달에 온라인에서
 이체하려고 하니 수수료가 나옵니다. 왜 부과가 되는지요?",,
447,,124,"은행에서 입금자동이체를 신청하면 서비스등록현황[11133]에 등록된 내용이 보여지고, 이체희망일, 이체금액 등 빈칸으로 보여집니다.
 고객이 당사로 내방 또는 전화 접수를 통해 서비스등록 및 해지[11132]화면에서 이체희망일, 이체금액 등 확인하고 등록해야 합니다",은행에서 입금자동이체 신청을 했습니다. 당사에서 처리할 사항이 있나요?,,
448,,124,아닙니다. 영업시간 09:00~16:00내에서만 월10회까지 면제 처리가 됩니다,CD/ATM기 ‘출금수수료 면제 계좌’는 시간과 상관없이 수수료가 부과되나요?,,
449,,124,아닙니다. 출금시에만 면제입니다. 입금이나 이체 시 면제 조건과 상관없이 수수료가 부과됩니다,"PLATINUM,VIP 고객이 CD/ATM기에서 입금 or 이체 시 수수료가 면제 되나요?",,
450,,124,"연금지급계좌 타사이체 등록 가능하며 수수료는 발생하지 않습니다. 2016.08.01부터 연금을 타행으로 지급 받는 경우 고객등급과 상관없이 송금수수료가 면제되었습니다.
 ※ 연금저축계좌의 경우 ‘등록계좌출금서비스’에 등록된 타사계좌로 지급 받을 수 있습니다",연금 지급도 송금수수료 발생하나요?,,
451,,124,[12011]출금화면에서 책임자승인출금(무매체) 체크 후 처리사유를 03 폐쇄계좌출금 선택하여 출금 처리하면 됩니다.,의원폐쇄된 계좌에 배당금 등으로 인한 예수금 입금 시 출금 방법은?,,
452,,125,"CMA-RP 자유형은 매일 자동투자가 발생합니다. 저녁에 매수가 자동 처리되고, 새벽에 자동 매도되어 현금화가 됩니다.
 저축형은 6개월에 한번만 자동투자가 발생하게 됩니다. 이에 따라, 입금건별로 매수 처리가 발생합니다",CMA-RP 자유형과 저축형은 어떻게 다른가요?,,
453,,125,네 가능합니다.  타금융기관의 타인명의 계좌도 대체 가능 합니다.,채권이자 자동출금 서비스 등록시 타인명의계좌도 대체 가능 한가요?,,
454,,125,"기발급한 공인인증서는 사용 불가합니다. 영업점에서 싸인코리아 고객센터에 전화하여 미인가신청 후 고객이 재발급 처리하거나
 고객이 직접 싸인코리아 홈페이지에서 인증서 초기화 처리하고 신규발급 처리 하면 됩니다.",명의변경처리한 경우 공인인증서는 그대로 사용 가능 한가요?,,
455,,125,고객지원팀에서 고객정보 확인 후 유선으로 신원확인 처리 하거나 본인이 영업점에 내방하여 처리 가능 합니다.,온라인에서 공인인증서 재발급 시 보안매체 미보유 고객은 신원확인을 어떻게 하나요?,,
456,,125,"고객정보에 등록된 우편물 통보처로 발송됩니다. 보안카드는 본인에게 직접 배달 되어야 하므로 저축주 본인이 직접 수령
 가능한 주소(직장or자택)로 통보처를 선택 해야 합니다.",비대면 계좌개설 시 신청한 보안카드는 어디로 발송 되나요?,,
457,,125,실명확인 절차가 완료 되지 않았기 때문입니다. 비대면 계좌개설 시 입력한 기존계좌에서 신규계좌로 지정된 금액을 이체 완료해야 실명확인이 완료 됩니다. 계좌이체가 불가능한 경우는 영업점에 내점하여 실명확인 처리하면 됩니다.,비대면으로 계좌개설을 완료 하였는데 실명미확인 계좌로 조회 됩니다.,,
458,,125,"네 가능합니다. 홈페이지에서 고객이 직접 변경 해야 합니다. 홈페이지 고객센터>계좌개설 신청 현황 조회> 기존 인증계좌
 변경 에서 처리 하면 됩니다.",비대면계좌 개설시 입력했던 기존 인증계좌를 변경 할 수 있나요?,,
459,,125,"고객님이 당사 발신번호를 스팸으로 등록 했는지 확인 해야 합니다. 알리미 메시지 중 입출금 거래관련 메시지는 고객지원센터
 대표번호 080-851-8282로 발신번호가 표시되고, 매매관련 메세지는 해당영업점의 대표번호로 발신번호가 표시 됩니다. 고객님이
 080번호를 스팸등록 하는 경우 입출금 거래관련 메시지는 수신 불가 합니다.",알리미서비스를 신청한 고객인데 일부 거래에 대해 메시지를 못 받았다고 합니다.,,
460,,125,네 가능합니다. 공인인증서로 로그인 하면 본인의 ID를 확인 할 수 있습니다.,ID를 분실 했는데 홈페이지에서 확인이 가능 한가요?,,
461,,125,"동일인 계좌인데 부기명등으로 상이하게 등록된 경우라면 업무팀장 확인 후 처리 가능 합니다. 업무팀장이 동일인 계좌임을 확인 하고
  이글프로 Tr11045 “타금융기관 계좌 확인 및 등록 “ 화면에서 해당 은행계좌를 등록 후 처리 하면 됩니다.",등록계좌 출금서비스 등록을 하는데 은행계좌의 계좌명이 당사 계좌명과 상이하게 등록되어 있습니다. 어떻게 처리해야 하나요?,,
462,,125,"대결지정을 하면 대결자에게 승인 요청이 되어야 합니다. 대결 지정 처리일을 확인하여  만약 당일에 대결지정을 한 경우라면
   이글프로를 재로그인 한 후 UMS승인 요청을 해야 합니다.",업무팀장 대결 지정을 했는데도 대결자에게 UMS발송 승인 요청이 안됩니다.,,
